,Unnamed: 0,reviewText,Category,overall
64,970618,"Spend more time making music and less time tweeting and messing with ditzy b-list blondes, John",CDs_and_Vinyls,0
65,26840,Warning!  Hidden Danger to eyes.,Beauty,0
66,514580,i wish i can give this album a  negative 5,CDs_and_Vinyls,0
67,165812,Incredible Atrocity,CDs_and_Vinyls,0
68,21942,Too light,Beauty,0
69,744342,This Isn't Even About Punk Anymore,CDs_and_Vinyls,0
70,94989,uh....... this ain't music-,CDs_and_Vinyls,0
71,716993,Nails on the chalkboard,CDs_and_Vinyls,0
72,1061427,Booring!!,CDs_and_Vinyls,0
73,1096990,"Thanks, I guess.",CDs_and_Vinyls,0
74,638870,Lars is a greedy piece of trash.,CDs_and_Vinyls,0
75,259588,did not work for me,Sports_and_Outdoors,0
76,910305,crockferry,CDs_and_Vinyls,0
77,547098,Don't buy this!,CDs_and_Vinyls,0
78,462495,Da album was not cool.,CDs_and_Vinyls,0
79,49716,VERY HARD TO PUT A GOOD EDGE ON IT,Sports_and_Outdoors,0
80,1070438,Waste Of Money,CDs_and_Vinyls,0
81,705528,Truely made me ill,CDs_and_Vinyls,0
82,201445,Total BS,CDs_and_Vinyls,0
83,183809,do not remember,Sports_and_Outdoors,0
84,107182,JUNK,Beauty,0
85,149992,What a ripoff.,Sports_and_Outdoors,0
86,922760,GARBAGE !!!,CDs_and_Vinyls,0
87,164670,Not worth it,Beauty,0
88,656932,Ocean Avenue by Yellowcard,CDs_and_Vinyls,0
89,87510,"""0(",Beauty,0
90,700976,Not enough Scott Wieland voice,CDs_and_Vinyls,0
91,701717,WTF?!,CDs_and_Vinyls,0
92,129286,Terrible Design for Toddler,Baby,0
93,50931,Longing for the Sackless Stump,CDs_and_Vinyls,0
94,1086226,Love Donna. Can't stand this CD!,CDs_and_Vinyls,0
95,626410,Wake up people...please!?!?!,CDs_and_Vinyls,0
96,635620,You're kidding right?,CDs_and_Vinyls,0
97,215586,"It is Made in China , Not in USA.",Sports_and_Outdoors,0
98,308207,How do they even have fans?!,CDs_and_Vinyls,0
99,755693,WHAT THE CRAP...!,CDs_and_Vinyls,0
100,915777,Disappointing,CDs_and_Vinyls,0
101,11964,The cool air button didn't work,Beauty,0
102,681944,Riding on the coattails of his older brothers success,CDs_and_Vinyls,0
103,142623,Leaves a Residue,Beauty,0
104,531496,hey cheer up,CDs_and_Vinyls,0
105,314932,"This is mostly an album of ""B side"" recordings.",CDs_and_Vinyls,0
106,701018,Thanks for Ruining the Van Halen Induction. Velvet Revolver SUCKS.  Here's why:,CDs_and_Vinyls,0
107,862986,"just the ""new"" metallica",CDs_and_Vinyls,0
108,183477,PLANT'S WORST SOLO EFFORT,CDs_and_Vinyls,0
109,1083211,Didn't like it.,CDs_and_Vinyls,0
110,287307,NOT a good album,CDs_and_Vinyls,0
111,20329,Doesn't feel secure,Baby,0
112,121161,Does Nothing,Beauty,0
113,63242,Why has the price doubled??,Beauty,0
114,21356,Too expensive,Beauty,0
115,449705,nothing new,CDs_and_Vinyls,0
116,67898,Less than Sturdy,Baby,0
117,510483,horrible whiney empty and talentless,CDs_and_Vinyls,0
118,131739,Leaks!!,Baby,0
119,662480,Yuck,CDs_and_Vinyls,0
120,329483,No talent at all.,CDs_and_Vinyls,0
121,844075,I thought my cats were fighting,CDs_and_Vinyls,0
122,583600,Theres really no excuse for this one,CDs_and_Vinyls,0
123,583649,"Hardcore, No It isn't.",CDs_and_Vinyls,0
124,984674,worst album yet,CDs_and_Vinyls,0
125,808468,Talk about overrated ...,CDs_and_Vinyls,0
126,264705,Don't bother...even if you are an Elvis fan....,CDs_and_Vinyls,0
127,162459,Not Reliable!,Sports_and_Outdoors,0
128,3200,never ever worked,Beauty,0
129,121731,Waste of Money,Beauty,0
130,33589,boring,CDs_and_Vinyls,0
131,79246,JUNK!,Beauty,0
132,959531,Whispering Shrieks,CDs_and_Vinyls,0
133,263777,Knee Deep in (You know what),CDs_and_Vinyls,0
134,549330,"in principle,",CDs_and_Vinyls,0
135,24248,Just awful,Amazon_Instant_Video,0
136,95231,do not buy this,Baby,0
137,1083939,Um....  It sucks.,CDs_and_Vinyls,0
138,958316,BEWARE BOGUS BOXES & BUY FROM AMAZON!,CDs_and_Vinyls,0
139,880469,AIDA IN LAS VEGAS,CDs_and_Vinyls,0
140,113658,"Straps are garbage, holder itself is mediocre",Sports_and_Outdoors,0
141,362492,Lots Of Noise,CDs_and_Vinyls,0
142,2227,Bad Choice,Office_Products,0
143,111985,"OH COME ON, GIVE ME A BREAK",CDs_and_Vinyls,0
144,52595,Why sterilize,Baby,0
145,125490,Not what I expected the word UNIVERSAL like one size fits all should have woke me up.,Sports_and_Outdoors,0
146,134214,THE PATHETICLY BALDING HAIR BAND !,CDs_and_Vinyls,0
147,1004813,hudson won t go/on,CDs_and_Vinyls,0
148,704224,Note: May or may not be an sacd!,CDs_and_Vinyls,0
149,94856,nothing,Beauty,0
150,775032,Sugar I'm Goin' Down Listening!!!,CDs_and_Vinyls,0
151,728471,Wake Me Up When The Fad Is Over,CDs_and_Vinyls,0
152,82608,Didn't do anything,Beauty,0
153,540543,The Romantic seed,CDs_and_Vinyls,0
154,185976,LOUDEST hair dryer.  Ever.,Beauty,0
155,129819,"Great idea, but doesn't work.",Baby,0
156,98358,Ew.,Beauty,0
157,605915,How the $%#@ did this band get popular?,CDs_and_Vinyls,0
158,529688,This cd left me cold...and blue,CDs_and_Vinyls,0
159,25171,This is possibly the worst DIY show I've ever seen (ties with katie brown workshop),Amazon_Instant_Video,0
160,1095581,Down the Toilet,CDs_and_Vinyls,0
161,1060237,sorry but its just one long lullaby.,CDs_and_Vinyls,0
162,3573,Blue?!,Beauty,0
163,198065,works BUT,Sports_and_Outdoors,0
164,767651,Save your money.,CDs_and_Vinyls,0
165,657292,Why are they all doing this?,CDs_and_Vinyls,0
166,97181,hard to use baby hates it!,Baby,0
167,582603,This cd really stinks!,CDs_and_Vinyls,0
168,672659,Sorry KJ,CDs_and_Vinyls,0
169,170391,Worthless for Me,Beauty,0
170,32788,Worst sharpener.,Office_Products,0
171,564565,1 star for a good song,CDs_and_Vinyls,0
172,244579,No Way This Is Essential Floyd,CDs_and_Vinyls,0
173,568584,...And you will know us by the trail of boring songs.,CDs_and_Vinyls,0
174,789696,REALLY a bad idea ...,CDs_and_Vinyls,0
175,24500,Problems that OOMA doesn't want you to know about,Office_Products,0
176,926467,I guess no one has reviewed this because no one is stupid enough to shell out $350 for it.,CDs_and_Vinyls,0
177,65091,Very Oily,Beauty,0
178,275338,Too Bad it Doesnt Work,Sports_and_Outdoors,0
179,188005,A FIRST IN MY EXPERIENCE....,Sports_and_Outdoors,0
180,7382,"its wonderful,but the original one",Beauty,0
181,751774,WHAT WERE YOU THINKING???????????????????,CDs_and_Vinyls,0
182,676855,bad,CDs_and_Vinyls,0
183,667807,Band of the week,CDs_and_Vinyls,0
184,552436,Typical Ono,CDs_and_Vinyls,0
185,1017683,thay should shave the unto the lucust up there a holes,CDs_and_Vinyls,0
186,453011,SO MEAN ...,CDs_and_Vinyls,0
187,1071261,All Gimmicky Haze,CDs_and_Vinyls,0
188,22046,DON'T BUY THIS!!!!!,CDs_and_Vinyls,0
189,639193,Awful,CDs_and_Vinyls,0
190,687839,ALLRIGHTEE THEN!!!!!!!,CDs_and_Vinyls,0
191,56377,Bought it and it had a leak the first night,Sports_and_Outdoors,0
192,945591,HAITINK IS DEAD IN LIFE!!!!!,CDs_and_Vinyls,0
193,123049,greasy--no progress in fading dark spots,Beauty,0
194,794102,Not good.,CDs_and_Vinyls,0
195,293416,Noise,CDs_and_Vinyls,0
196,550959,If I could give this a zero ...,CDs_and_Vinyls,0
197,700843,Just Buy Music Bank,CDs_and_Vinyls,0
198,763389,"50 Cent, or shall I say 5 Cent must go back to the ghetto",CDs_and_Vinyls,0
199,714008,dreadful,CDs_and_Vinyls,0
200,1029051,What's The Point?,CDs_and_Vinyls,0
201,506677,Just your average cloned country music,CDs_and_Vinyls,0
202,508538,Absolutely nothing to be gained from this album,CDs_and_Vinyls,0
203,74282,KISS at their best ...,CDs_and_Vinyls,0
204,376089,These guys were booed at during this tour,CDs_and_Vinyls,0
205,98975,"doesn't fit, had to modify it to work, not worth the time.....",Sports_and_Outdoors,0
206,276379,Just the movie audio!,CDs_and_Vinyls,0
207,29362,NOTHING...,Beauty,0
208,97092,not actually tactical high rings,Sports_and_Outdoors,0
209,572532,Is this supposed to be some kind of joke!,CDs_and_Vinyls,0
210,161161,poorly made,Beauty,0
211,134910,Grade:F,Beauty,0
212,628512,Not good,CDs_and_Vinyls,0
213,715204,What went wrong???,CDs_and_Vinyls,0
214,609107,Sometimes You Win...,CDs_and_Vinyls,0
215,344005,"Duped, again",CDs_and_Vinyls,0
216,392931,Ja Rule is a poor man's DMX,CDs_and_Vinyls,0
217,68251,not my style,CDs_and_Vinyls,0
218,32559,Buyer Beware!,Beauty,0
219,85833,Didn't work for me,Sports_and_Outdoors,0
220,59931,raccoon eyes!!!,Beauty,0
221,743272,THE BIGGEST JOKE IN THE MUSIC BIZZ.,CDs_and_Vinyls,0
222,202454,On amazon you can get a SOG key lock. Get that one,Sports_and_Outdoors,0
223,623491,Stinky stuff by a stinky man,CDs_and_Vinyls,0
224,961643,Egocentric Drivel,CDs_and_Vinyls,0
225,9497,Wasn't good for me,Beauty,0
226,385388,The bad hair is the best part of this lackluster CD,CDs_and_Vinyls,0
227,971412,Pure Junk!!!,CDs_and_Vinyls,0
228,279449,JUNK,Sports_and_Outdoors,0
229,7137,Poor sound quality,Baby,0
230,372375,Cube's worst album and a disgrace to gangsta rap,CDs_and_Vinyls,0
231,489911,Dont make me laugh...,CDs_and_Vinyls,0
232,594720,Atrocious piece of manure!,CDs_and_Vinyls,0
233,43094,a collection of junk,CDs_and_Vinyls,0
234,105344,Dangerous,Baby,0
235,104643,Alcohol alcohol,Beauty,0
236,26639,Take my advice.,Beauty,0
237,33359,"My rating is for the poor remaster, not the content of the record",CDs_and_Vinyls,0
238,579045,"For those still hanging on, I'm sorry.",CDs_and_Vinyls,0
239,76133,They leak,Baby,0
240,408753,Incoherent mish-mash,CDs_and_Vinyls,0
241,36380,Wait until you need it,Baby,0
242,1087519,"slick, poppy, predictable....unbearable!",CDs_and_Vinyls,0
243,798297,"AKR, you are forgiven",CDs_and_Vinyls,0
244,454813,"Sorry, just not impressed",CDs_and_Vinyls,0
245,802406,"An ""Emo"" Guns & Roses",CDs_and_Vinyls,0
246,175594,did not get this yet,Beauty,0
247,473837,yes i know this is bad,CDs_and_Vinyls,0
248,615391,this is me....after lissenin to this wreck,CDs_and_Vinyls,0
249,778842,Buy only if you have editing software.,CDs_and_Vinyls,0
250,489659,1 star is just too much,CDs_and_Vinyls,0
251,507653,DO NOT BUY THIS CD!!! I'M WARNING YOU!!,CDs_and_Vinyls,0
252,152888,Mmmm,Beauty,0
253,88234,"I really wanted to love it, but the lining does not go on ...",Beauty,0
254,458016,Dont take the trouble to get this cd. Overhyped Stuff...,CDs_and_Vinyls,0
255,805032,another way to waste $20,CDs_and_Vinyls,0
256,498943,Worst from Light Years,CDs_and_Vinyls,0
257,187221,My life with iFit (nightmare in the basement),Sports_and_Outdoors,0
258,829233,"a bore (in other words, usual Pearl Jam fodder)",CDs_and_Vinyls,0
259,387532,crapper,CDs_and_Vinyls,0
260,797108,Music that makes my mouth drop  (in the bad way),CDs_and_Vinyls,0
261,84852,Padded? More like lined....,Sports_and_Outdoors,0
262,167096,Words are meaningless,CDs_and_Vinyls,0
263,956251,No Wonder 'Do I' was his first and hit single for this cd!,CDs_and_Vinyls,0
264,496778,Livin' La Vida Broka,CDs_and_Vinyls,0
265,835357,Blind Faith London Hyde Park 1969,CDs_and_Vinyls,0
266,42749,Avoid It,Office_Products,0
267,104669,Doesn't Hold due to design flaw.,Baby,0
268,263042,Once upon a time there was a movie...,CDs_and_Vinyls,0
269,185916,AC/DC SUCKS!,CDs_and_Vinyls,0
270,747131,"SIMPLY AWFUL...A TRAIN WRECK,  really",CDs_and_Vinyls,0
271,597862,Sedated Lame Efforts,CDs_and_Vinyls,0
272,937081,same old stuff,CDs_and_Vinyls,0
273,882706,Unlistenable for rock fans,CDs_and_Vinyls,0
274,446962,Worth Your Time AND Precious Money!,CDs_and_Vinyls,0
275,642596,This is pure crap,CDs_and_Vinyls,0
276,19855,VERY BAD!!!!!!!!!!!!!,CDs_and_Vinyls,0
277,77412,Forgettable!,CDs_and_Vinyls,0
278,6046,NOT AS PICTURED,Baby,0
279,583885,A Horrible Album,CDs_and_Vinyls,0
280,115018,Warning,Beauty,0
281,875171,Third Dud In A Row For Bjork,CDs_and_Vinyls,0
282,531599,I'll Give Her Credit For THREE Songs,CDs_and_Vinyls,0
283,234190,A TRAGEDY...,CDs_and_Vinyls,0
284,2000,My baby refuses it!,Baby,0
285,798004,well intentioned but weird,CDs_and_Vinyls,0
286,1000175,Not Happy,CDs_and_Vinyls,0
287,141145,second rate at best,Sports_and_Outdoors,0
288,1047387,...uninspired group of tracks concluded with an abrupt ending,CDs_and_Vinyls,0
289,471755,Secret Chiefs should have remained a secret...,CDs_and_Vinyls,0
290,838169,"Fun tribute, or just making fun?",CDs_and_Vinyls,0
291,812597,How to handle korn,CDs_and_Vinyls,0
292,646613,OUCH!,CDs_and_Vinyls,0
293,163980,Will change color,Beauty,0
294,777243,Sucks,CDs_and_Vinyls,0
295,456111,stay away from this,CDs_and_Vinyls,0
296,525756,not good,CDs_and_Vinyls,0
297,605016,Not recommended for extended listening...,CDs_and_Vinyls,0
298,1041817,Spineshankless,CDs_and_Vinyls,0
299,121915,Who is the Conductor???,CDs_and_Vinyls,0
300,80920,It a no go,Beauty,0
301,94157,No batteries!!!,Baby,0
302,1003622,garbage,CDs_and_Vinyls,0
303,905174,a stupendously overrated album from a stupendously overrated band,CDs_and_Vinyls,0
304,5830,rotten little show,Amazon_Instant_Video,0
305,814681,YESTERDAY,CDs_and_Vinyls,0
306,18473,"Wow, what a piece of crap",CDs_and_Vinyls,0
307,227443,very cheap item,Sports_and_Outdoors,0
308,5179,Blobs of ink,Office_Products,0
309,314878,I'll say goodbye to taste,CDs_and_Vinyls,0
310,129438,Not sensitive enough,Beauty,0
311,472124,I Like it Less With Each Listen...,CDs_and_Vinyls,0
312,36791,"Wow, this show was so stupid.",Amazon_Instant_Video,0
313,4558,Disgusting.,Beauty,0
314,357148,Driven by MTV...,CDs_and_Vinyls,0
315,17156,way too small and flimsy,Baby,0
316,585566,Terrible: don't buy it!!,CDs_and_Vinyls,0
317,144439,Not worth the money.,Sports_and_Outdoors,0
318,944810,Bad Sounds Sold Hard To The Sheep,CDs_and_Vinyls,0
319,922324,Nothing can save this band,CDs_and_Vinyls,0
320,244530,VERY DANGEROUS,Sports_and_Outdoors,0
321,1019080,Time for her to retire - please.,CDs_and_Vinyls,0
322,60729,Prickly!,Beauty,0
323,4035,"Rating is for FORMAT, not quality of performance",CDs_and_Vinyls,0
324,414362,"Oh God, this is DREADFUL!!!!!!",CDs_and_Vinyls,0
325,654383,the album is ok,CDs_and_Vinyls,0
326,19799,A shockingly banal effort,CDs_and_Vinyls,0
327,18084,African American Hair Review,Beauty,0
328,778616,CASH : FOR THE RECORD COMPANY NOT THE BARRELHEAD,CDs_and_Vinyls,0
329,145212,Wrong color for me,Beauty,0
330,327598,Speaking of one-hit wonders...,CDs_and_Vinyls,0
331,141651,:(,Beauty,0
332,558587,"Ok, I'm Convinced Music Is Dying!!!",CDs_and_Vinyls,0
333,923439,Gawd Awful Hank JR Wanna Be,CDs_and_Vinyls,0
334,151165,Horrible Bag - Hard to adjust and bag flies back,Sports_and_Outdoors,0
335,83625,Avani dead sea skin peel,Beauty,0
336,59842,Smells Awful!,Beauty,0
337,73208,Caused eye irritation,Beauty,0
338,205237,DO NOT BUY THIS POS!,Sports_and_Outdoors,0
339,157936,"Idea is cute, but has very sharp corners",Baby,0
340,694194,Terrible DVD!,CDs_and_Vinyls,0
341,850863,I Apologize,CDs_and_Vinyls,0
342,79756,shipped wrong part,Sports_and_Outdoors,0
343,704160,this is garbage,CDs_and_Vinyls,0
344,147444,but can't recommend the product or the seller,Sports_and_Outdoors,0
345,777351,I will not buy this copy-protected product,CDs_and_Vinyls,0
346,626151,Only if you can put 0 stars,CDs_and_Vinyls,0
347,902189,Alice in Chains ripoff,CDs_and_Vinyls,0
348,149886,Costume Party Wig,Beauty,0
349,618856,Shut Up!  Kelly Osbourne Should Take Her Own Advice,CDs_and_Vinyls,0
350,6477,My baby's hands are freezing cold after a night in this.,Baby,0
351,156518,Terrible purchase,Baby,0
352,1059171,Do Not Buy!,CDs_and_Vinyls,0
353,6107,A PIECE OF JUNK  -- CD/DVD WON'T WORK,Office_Products,0
354,686488,Not So Good,CDs_and_Vinyls,0
355,996567,Plagued with problems.,CDs_and_Vinyls,0
356,47187,Weird and heavy,Baby,0
357,3017,Just... no.,Beauty,0
358,763724,Weast Coast,CDs_and_Vinyls,0
359,174197,Not a beauty blender.,Beauty,0
360,67139,"Move Along, Folks, Nothing to Listen to Here",CDs_and_Vinyls,0
361,53075,The worst baby product I had,Baby,0
362,254297,runied my knife,Sports_and_Outdoors,0
363,692219,Shouldn't Alt Metal Rock?,CDs_and_Vinyls,0
364,94486,almost useless,CDs_and_Vinyls,0
365,5095,Don't bother....,CDs_and_Vinyls,0
366,6107,Meh,Beauty,0
367,828860,Unworthy of the venue it was played in,CDs_and_Vinyls,0
368,904851,Karajan and God Double Fascists,CDs_and_Vinyls,0
369,983356,The same thing over and over,CDs_and_Vinyls,0
370,102761,Broke the first time I used it,Sports_and_Outdoors,0
371,972701,Songs From The Heart,CDs_and_Vinyls,0
372,76646,Balance Ball Blues.,Sports_and_Outdoors,0
373,1044548,greater talent bad prodution,CDs_and_Vinyls,0
374,88052,waste,Beauty,0
375,51012,Doesn't Last Long (Limited Use),Beauty,0
376,226982,ANOTHER LET DOWN,CDs_and_Vinyls,0
377,146890,Garbage !,CDs_and_Vinyls,0
378,163173,"laser was bright for 1-2 minutes, then dimmed to almost  nothing",Sports_and_Outdoors,0
379,92935,Didn't notice a difference,Beauty,0
380,48584,THE CD CASE HAS MORE INTEREST THAN THE MUSIC ON THE CD,CDs_and_Vinyls,0
381,185729,Doesn't dry me or itself that well or quick,Sports_and_Outdoors,0
382,416696,OVVERRATED!,CDs_and_Vinyls,0
383,108789,LIKE WAX,Beauty,0
384,51896,Great if it worked :(,Baby,0
385,13978,"ABSOLUTELY *&%$#&$@""& and that is putting it mildly !!!!!!",Office_Products,0
386,22224,Not really worth it,Office_Products,0
387,675799,Very irritating music,CDs_and_Vinyls,0
388,750467,Terrible!,CDs_and_Vinyls,0
389,775211,Pretty Filthy Is What They Call It!!!,CDs_and_Vinyls,0
390,1070027,OMGoodness!!! what is wrong with this person,CDs_and_Vinyls,0
391,26336,This chain develops tight links in use,Sports_and_Outdoors,0
392,222686,Gone dry,CDs_and_Vinyls,0
393,972390,Not this time,CDs_and_Vinyls,0
394,616182,My jaw dropped...,CDs_and_Vinyls,0
395,121887,Not so good,Sports_and_Outdoors,0
396,65504,Dont buy!,Baby,0
397,381670,BABY NO MORE CDS PLEASE.,CDs_and_Vinyls,0
398,144581,terrible,Sports_and_Outdoors,0
399,863363,Jon Anderson Animation,CDs_and_Vinyls,0
400,527106,You've got to be kidding.,CDs_and_Vinyls,0
401,19001,"Really, really cheap Chinese waste of materials.",Sports_and_Outdoors,0
402,116054,Baby hates bath time now!,Baby,0
403,74605,Hands down the WORST conditioner I have ever used - however the shampoo from this brand is awesome!,Beauty,0
404,29751,So Overrated,Amazon_Instant_Video,0
405,436533,"One Song, One Star",CDs_and_Vinyls,0
406,938790,Are you kidding me? This cd is garbage!!,CDs_and_Vinyls,0
407,945857,shouldda stopped after Danzig 4,CDs_and_Vinyls,0
408,718848,1 song stuck on repeat.,CDs_and_Vinyls,0
409,94414,Too Expensive For What You Get,Beauty,0
410,468921,err,CDs_and_Vinyls,0
411,660178,Horrible....Thought it would be better!,CDs_and_Vinyls,0
412,156622,No Range,Baby,0
413,147313,2 mos - No results,Beauty,0
414,183076,Edit: DO NOT BUY,Sports_and_Outdoors,0
415,1067500,Weak Bon Jovi album,CDs_and_Vinyls,0
416,3135,Don't blame The Beatles for this --,CDs_and_Vinyls,0
417,36328,not sharp enough at all,Beauty,0
418,57151,Poor Design for Little Bums,Baby,0
419,511128,Maybe better loved by early Beach Boys fans....,CDs_and_Vinyls,0
420,72571,Never mind it was a mistake,Sports_and_Outdoors,0
421,111656,This is the worst product ive ever bought off amazon...,Beauty,0
422,106204,Sucks!!!,Beauty,0
423,793954,ANOTHER PIECE OF JUNK!!!,CDs_and_Vinyls,0
424,3698,Waste of Money!!!,Baby,0
425,297015,blah,CDs_and_Vinyls,0
426,935459,YO KANYE,CDs_and_Vinyls,0
427,21667,Stained and was just too creamy,Beauty,0
428,202149,"Might have been a life saver, had it worked",Sports_and_Outdoors,0
429,607417,An example of what's wrong with Hip-Hop,CDs_and_Vinyls,0
430,220468,Won't Stand Up to .44 Magnum Revolvers,Sports_and_Outdoors,0
431,184758,After several listens...I became comatose and not in a good way.,CDs_and_Vinyls,0
432,616213,13 Year-Old Campfire Sing-along,CDs_and_Vinyls,0
433,948339,Neil goes off in a cloud of musical smog,CDs_and_Vinyls,0
434,150973,Too stretchy,Baby,0
435,76070,"0h,The Horrors!",CDs_and_Vinyls,0
436,814427,"Great Music, Terrible Recording",CDs_and_Vinyls,0
437,371720,one hit wonder,CDs_and_Vinyls,0
438,42443,So spill proof that you can't get any liquid out,Baby,0
439,770148,An anti-tribute to Rosemary Clooney,CDs_and_Vinyls,0
440,1068396,great new Steve Earle CD!!!,CDs_and_Vinyls,0
441,713354,[...],CDs_and_Vinyls,0
442,9653,GREAT CONCEPT,Baby,0
443,179758,Too difficult to load into Umarex Octane .177,Sports_and_Outdoors,0
444,501329,This CD Has Hit Me,CDs_and_Vinyls,0
445,59647,Beware of this holster system. Do your homework!,Sports_and_Outdoors,0
446,895655,Shallow,CDs_and_Vinyls,0
447,506428,"A Good Album, NOT.",CDs_and_Vinyls,0
448,692785,inhuman,CDs_and_Vinyls,0
449,20276,Nice Idea But...,Baby,0
450,3496,Not great,Amazon_Instant_Video,0
451,29186,Soft sided canteen is a great idea but the sides are simply too flimsy,Sports_and_Outdoors,0
452,562037,"It's Alright, but I Wasn't Impressed",CDs_and_Vinyls,0
453,206864,well made but.,Sports_and_Outdoors,0
454,93981,Dangerous -- Off Balanced Due To Uneven Weight Distribution,Baby,0
455,281929,"Bad taste, all filler.",CDs_and_Vinyls,0
456,588620,SHOULD BE ON  BLACK JU JU'S LIST,CDs_and_Vinyls,0
457,491100,Outrageous.,CDs_and_Vinyls,0
458,400609,Pretentious song titles. Pretentious notes. What a talent!,CDs_and_Vinyls,0
459,744344,Teens can relate to much better things,CDs_and_Vinyls,0
460,361756,Huh...,CDs_and_Vinyls,0
461,150641,garbage,Sports_and_Outdoors,0
462,692284,Make it stop!!!,CDs_and_Vinyls,0
463,122613,Disappointed!,Beauty,0
464,35982,Awful!,Beauty,0
465,45261,My hair is drying and falling!,Beauty,0
466,143223,VERY hard to get drink out.,Baby,0
467,124278,Doesn't beep when finished,Baby,0
468,280559,How Many Funkadelic Samples can u steal and put on 1 album,CDs_and_Vinyls,0
469,252547,So horrible that writing a review for this is a waste of time,CDs_and_Vinyls,0
470,26385,Razor  works for a while and than try to get help!,Sports_and_Outdoors,0
471,230716,not for me,Sports_and_Outdoors,0
472,854908,having an open mind or a diverse taste in music doesn't make this album suck any less,CDs_and_Vinyls,0
473,928249,KISS it goodbye,CDs_and_Vinyls,0
474,615396,Poor Jenny,CDs_and_Vinyls,0
475,974231,Too little too late,CDs_and_Vinyls,0
476,10056,Did not live up to the hype,Beauty,0
477,283659,metalhead,CDs_and_Vinyls,0
478,1026879,Deberia dedicarse a lo suyo - a ser actriz de telenovelas,CDs_and_Vinyls,0
